No.,회사,제목,지역,상세보기
129,"

                            (주)아이브이에이치                        
",디지털 트윈 기반 자율주행 가상검증 엔지니어 신입/경력 모집,서울 서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53947600&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
130,"

                            블루파이테크(주)                        
",금융 거래 데이터 분석 및 리스크 관리자 채용 (딜링데스크),서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54214554&location=ts&searchword=python&searchType=recently&paid_fl=n&search_uuid=08be03be-d566-4b9f-9871-5af2b2ba2ae1
131,"

                            (주)엘티엔터테인먼트                        
",제주 드림타워 복합리조트 [카지노&호텔] 대규모 신입 공채,제주 제주시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51438642&location=ts&searchword=python&searchType=recently&paid_fl=n
132,"

                            명화공업(주)                        
",2026년 본사 및 관계사 채용,서울 금천구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54347275&location=ts&searchword=python&searchType=recently&paid_fl=n
133,"

                            일진제강(주)                        
",2026년 신입/경력사원 수시채용,서울 마포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54418619&location=ts&searchword=python&searchType=recently&paid_fl=n
134,"

                            (주)우진플라임                        
",㈜우진플라임 부문별 인재채용,충북 보은군,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54351380&location=ts&searchword=python&searchType=recently&paid_fl=n
135,"

                            극동건설(주)                        
",2026년 3분기 분야별 공개채용, 전국,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54023849&location=ts&searchword=python&searchType=recently&paid_fl=n
136,"

                            해커스교육그룹                        
",2026년 해커스 교육그룹 [신입/경력] 각 부문별 채용공고,서울 서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54325136&location=ts&searchword=python&searchType=recently&paid_fl=n
137,"

                            (주)농심                        
",농심 정규직 생산 사원 모집,부산 강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54374863&location=ts&searchword=python&searchType=recently&paid_fl=n
138,"

                            (주)클리오                        
",2026년도 상반기 신입(인턴) 및 경력사원 채용,서울 성동구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54048784&location=ts&searchword=python&searchType=recently&paid_fl=n
139,"

                            (주)아모텍                        
",㈜아모텍 2026년 하반기 신입/경력 수시채용,서울 서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54350023&location=ts&searchword=python&searchType=recently&paid_fl=n
140,"

                            (주)한국애보트진단                        
",㈜한국애보트진단 신입/경력사원 공개채용,경기 용인시 기흥구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54353126&location=ts&searchword=python&searchType=recently&paid_fl=n
141,"

                            (주)레이저발테크놀러지                        
",2026년 3분기 분야별 공개 채용,경기 수원시 권선구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54142770&location=ts&searchword=python&searchType=recently&paid_fl=n
142,"

                            한국바스프(주)                        
",한국바스프 군산공장 생산 Operator 채용,전북 군산시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54417564&location=ts&searchword=python&searchType=recently&paid_fl=n
143,"

                            국제약품(주)                        
",생산직/품질관리 신입•경력 채용,경기 안산시 단원구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54395194&location=ts&searchword=python&searchType=recently&paid_fl=n
144,"

                            (주)가스트론                        
",각 부문별 신입/경력 모집,경기 군포시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54417704&location=ts&searchword=python&searchType=recently&paid_fl=n
145,"

                            (주)올가홀푸드                        
",[풀무원ORGA] 올가 하반기 채용연계형 인턴십,서울 송파구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54321101&location=ts&searchword=python&searchType=recently&paid_fl=n
146,"

                            바이오플러스(주)                        
",바이오플러스㈜ 2026년 하반기 각 부문별 수시채용,경기 성남시 중원구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54015174&location=ts&searchword=python&searchType=recently&paid_fl=n
147,"

                            테크젠(주)                        
",[현대자동차그룹] 테크젠(주) 서산공장 생산계약직 채용,충남 서산시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54427574&location=ts&searchword=python&searchType=recently&paid_fl=n
148,"

                            (주)호반호텔앤리조트                        
",본사 및 사업장 부문별 채용,서울 서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54394726&location=ts&searchword=python&searchType=recently&paid_fl=n
149,"

                            태형리싸이클링(주)                        
",태형리싸이클링(주) 각 사업소 신입 및 경력사원 모집,경북 김천시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54336705&location=ts&searchword=python&searchType=recently&paid_fl=n
150,"

                            (주)원일티엔아이                        
",2026년 각 부문 신입/경력 공채,경기 김포시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53806452&location=ts&searchword=python&searchType=recently&paid_fl=n
151,"

                            (주)엘티엔터테인먼트                        
",제주 드림타워 복합리조트 [카지노&호텔] 대규모 신입 공채,제주 제주시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51438642&location=ts&searchword=python&searchType=recently&paid_fl=n
152,"

                            명화공업(주)                        
",2026년 본사 및 관계사 채용,서울 금천구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54347275&location=ts&searchword=python&searchType=recently&paid_fl=n
153,"

                            일진제강(주)                        
",2026년 신입/경력사원 수시채용,서울 마포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54418619&location=ts&searchword=python&searchType=recently&paid_fl=n
154,"

                            (주)우진플라임                        
",㈜우진플라임 부문별 인재채용,충북 보은군,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54351380&location=ts&searchword=python&searchType=recently&paid_fl=n
155,"

                            극동건설(주)                        
",2026년 3분기 분야별 공개채용, 전국,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54023849&location=ts&searchword=python&searchType=recently&paid_fl=n
156,"

                            해커스교육그룹                        
",2026년 해커스 교육그룹 [신입/경력] 각 부문별 채용공고,서울 서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54325136&location=ts&searchword=python&searchType=recently&paid_fl=n
157,"

                            (주)농심                        
",농심 정규직 생산 사원 모집,부산 강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54374863&location=ts&searchword=python&searchType=recently&paid_fl=n
158,"

                            (주)클리오                        
",2026년도 상반기 신입(인턴) 및 경력사원 채용,서울 성동구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54048784&location=ts&searchword=python&searchType=recently&paid_fl=n
159,"

                            (주)아모텍                        
",㈜아모텍 2026년 하반기 신입/경력 수시채용,서울 서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54350023&location=ts&searchword=python&searchType=recently&paid_fl=n
160,"

                            (주)한국애보트진단                        
",㈜한국애보트진단 신입/경력사원 공개채용,경기 용인시 기흥구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54353126&location=ts&searchword=python&searchType=recently&paid_fl=n
161,"

                            (주)레이저발테크놀러지                        
",2026년 3분기 분야별 공개 채용,경기 수원시 권선구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54142770&location=ts&searchword=python&searchType=recently&paid_fl=n
162,"

                            한국바스프(주)                        
",한국바스프 군산공장 생산 Operator 채용,전북 군산시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54417564&location=ts&searchword=python&searchType=recently&paid_fl=n
163,"

                            국제약품(주)                        
",생산직/품질관리 신입•경력 채용,경기 안산시 단원구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54395194&location=ts&searchword=python&searchType=recently&paid_fl=n
164,"

                            (주)가스트론                        
",각 부문별 신입/경력 모집,경기 군포시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54417704&location=ts&searchword=python&searchType=recently&paid_fl=n
165,"

                            (주)올가홀푸드                        
",[풀무원ORGA] 올가 하반기 채용연계형 인턴십,서울 송파구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54321101&location=ts&searchword=python&searchType=recently&paid_fl=n
166,"

                            바이오플러스(주)                        
",바이오플러스㈜ 2026년 하반기 각 부문별 수시채용,경기 성남시 중원구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54015174&location=ts&searchword=python&searchType=recently&paid_fl=n
167,"

                            테크젠(주)                        
",[현대자동차그룹] 테크젠(주) 서산공장 생산계약직 채용,충남 서산시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54427574&location=ts&searchword=python&searchType=recently&paid_fl=n
168,"

                            (주)호반호텔앤리조트                        
",본사 및 사업장 부문별 채용,서울 서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54394726&location=ts&searchword=python&searchType=recently&paid_fl=n
169,"

                            태형리싸이클링(주)                        
",태형리싸이클링(주) 각 사업소 신입 및 경력사원 모집,경북 김천시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54336705&location=ts&searchword=python&searchType=recently&paid_fl=n
170,"

                            (주)원일티엔아이                        
",2026년 각 부문 신입/경력 공채,경기 김포시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53806452&location=ts&searchword=python&searchType=recently&paid_fl=n
